ulid,text
01K5JNMA93RQE9CZEA9NM8NSGD,Para mapadam ako rin sa'yo kung kanong walaga ang
01K5JNMAJFY2BZ8AS82S5JJXPB,"Iyong mga mite, iyong pagtitimpe, iyong pagpipisita dito sa'king munding silen"
01K5JNMAX1GAFRRWB9A8R1K367,Ang ating mga lamping ang may-amay ay nauuwen
01K5JNMB6XG1474HAW7MM3AQNH,Nalang sakataimikang kasi ikaw'y naiiiness
01K5JNMBGHK1AY8T3ANCT98B6Q,Sana'y pansinin
01K5JNMBRVGKY972D321YRYM3A,Ano ngayon? Anong ginagawa mo?
01K5JNMC3CPXVXQ186XECB8MWJ,Tumatakbo ka na mga kanang baboy na tumatakbo!
01K5JNMCE04H24GFM6EFZ8F86A,"Ina mo, wala kaya ng item ah?"
01K5JNMCR3NSQTD73KBFN22HJP,Talaga! Talaga!
01K5JNMD25V814RJ5WJ2GNEGWK,Matin ka gagayain? Bopo ka.
01K5JNMDCCMH6RB9MSVS5GVAAV,Isang kasang pinangamahin naman item.
01K5JNMDPC8B9NQC0AZD3PNNKM,"Ina mo, wala ka siya kung si Bindib kanina."
01K5JNME0FAPS8BK37MF4FY5DF,Putang ina mo! Ano?
01K5JNMEAJZ3BB1M07F8Z5P6K6,Sakit ba? Pasok na basok ba?
01K5JNMEMCG9KRNJ6M59AMSB5X,Masalimut ba? Putang ina mo?
01K5JNMEY2FBDFCHBXXNN21Q7Z,"Ah, binayintay niyo ang ano niya."
01K5JNMF89A91CGCR264J0PR1J,"Oo, walang gayaan, di ba?"
01K5JNMFJ9YN3HV3PH9ZRSQ2XK,Wala kasi kung Bindib kanina kaya nagyabang...
01K5JNMFWN0SPKACSVB42XGVD7,Bantatubatakbo!
01K5JNMG71K7JRV04Q6TCTRC31,Alshakit para egan junior!
01K5JNMGH2EM3649AXKAQJ8DK2,Pinagbigyan lang naman!
01K5JNMGV2TP871VQKXKC7BJX8,"Sumasayong ako sa stream, tanga!"
01K5JNMH5M18MGJJSP12H6VTET,Wala tayo magagawa mahal mo na
01K5JNMHD818BGMJN6DACYEBWH,"Eh, Batadan"
01K5JNMHNYCC984MPBWN211RJ2,Alam mo ba?
01K5JNMHXQC92X23JHGTM60N58,"Ngayon ng si tatay digong gipadala sa Netherlands,"
01K5JNMJ54JEWP5YAACMY03FMH,nga pwede naman unta si Mommy Jupiter.
01K5JNMJBVQ1DWWVMXB9DFWTMS,"Pwede, uwe, pwede naman ganit kitang tanan, manganit ng Netherlands."
01K5JNMJK6MY6WYZRCD0YQ6MFS,"Problema, hurot pong budget sa airplaneo."
01K5JNMJTBD6Y7FXYEHTJRF3TB,Hoy! Putangin na mo!
01K5JNMK0YFWTRX7194Y9PZJRE,Yung mga barkala mo!
01K5JNMK787VSBRWDCZZ5TV6WF,Nang babato sa bahay namin!
01K5JNMKDGDTN6T1CWDBV1QY7A,Ha!
01K5JNMKKQY9PVT1S2Y4VD83JV,Wag kayong magbabato sa bahay namin!
01K5JNMKT1NE0ZHQSWM94X92TG,Putangin na mo!
01K5JNMM0B2D5A17GNC0VZQ7Z9,"Mami, baka hindi ka uma magdaisik"
01K5JNMMB26110JZX1X0NBEE1P,kung ta'n magbake?
01K5JNMMN3WHPD3P24DV8C1WE2,Yung lubago ni liyo ni kabayo adi re
01K5JNMMYZAY93A54TG1ZZ5HWM,Sildo ni mo piptike pero sumbagay mo ni pakya o?
01K5JNMNA4923NAC618C6W05G4,Maka kwarta po lagi ta pero abog-bog abirna po lagi
01K5JNMNN8TRBN5XBYDDJKE2QM,"Ikaw na lang, kamun na lang diba pag sinumbagay"
01K5JNMNZTNXYM69X4S6HCQE03,"Mami, kung di li ka musugot kwaon sa ginoo"
01K5JNMPBKA2VN0N3TQ1YGYFQC,kwaon na lang ti kabi
01K5JNMPNRVZRZ409EX8QSC1PB,kawang mig-usa
01K5JNMPZVQG9KYYVDS7DQ2EFH,manuwa tag basketball
01K5JNMQA3A133CT6W5Z90FGQN,Paktunin mo na ako dili basketballista
01K5JNMQMWQ00YDMD3ZAK29E7Z,"Mami, kung ang gihemo sa ginoo"
01K5JNMR0FSAG6833Q59XYR061,kay mga guapa o guapo
01K5JNMRABRYMESYKJ9AFN1KR3,kinsa may naghimo ni mo?
01K5JNMRMDE5DV11NMXZG5P9S3,Pila ng kaka years in service sa mauti abo sa yap
01K5JNMRZPXPFN79AK27YTB23D,Boot-boot ko nagmakumoot ko na imung bak-bak roon na
01K5JNMSADZ4MWPNGTJ9T2PNFQ,Pasagdahan na sila mami
01K5JNMSM32AH0TV98FCPEXWV9,Kung di li sila ganaan ni mo
01K5JNMSY9ARYWK2C1GSRYXR8T,mas labaw na ko
01K5JNMT863VP7YNHX048J5BR8,Uri ganaan ako di
01K5JNMTJ9VTNSNGGQ5J4QHZCT,"Magundang ang tanan, ui ganaan na tumuha"
01K5JNMTW471XQRB8GNGGFWT8V,"Mami, ayaw o gtabog sa kalsada"
01K5JNMV72GXJ8W6CGJ9BYQ32V,Kung na ay motor
01K5JNMVHEE08FX9B0C2RTSZFN,Kulat na ang truck
01K5JNMVVN9GY11RFC9YKN9DZR,"Kasi kung motor, kung gini bang bak-bak ni"
01K5JNMW5ZN3NBA026PD0ZSRF4,"Ayaw, I remember kung mong rin si Dewatan ni"
01K5JNMWGXT9WGSA5MM7B29FYF,"Anywhere you meet me, guarantee to go down"
01K5JNMWS66CKEJF1JXX1E1PP3,All I do when you prime with that booty on me
01K5JNMX0VNVXNWXCPA5DKPEZV,Do it down while you lookin' lonely
01K5JNMX8MDZKTSVCT64EKRV40,Knock around and it's all on me
01K5JNMXGR7PA0B0S47SK8GB2D,With that booty on me
01K5JNMXQG9YWKQEYJKS0SF1YZ,It's goin' down
01K5JNMXYRAPYB53XCFB7NT09J,"Leave me in the groove, leave me in the groove, leave me in the groove, it's goin' down"
01K5JNMY9N4NHP93CZQ6N11QZH,"Either way, we guaranteed it goin' down, leave me in the club"
01K5JNMYK9NHT2XJZ8PTHPDGV9,sagot ka mami mo balhin na kag po yung asa dabaw pero mamalhin magsibo a go laban
01K5JNMYVKPQ2QV99EJ93PF9JR,kayo pag balhin po na kag sibo balhin po kag dabaw no? pweli pweli lang
01K5JNMZ2G5MBSM5C8ZSCC1THQ,"araw di na, hurot imong kwarta, pliti balhin balhin"
01K5JNMZA1QTQN0F1Y21HAQEB0,"... sa aking sabi ni Diskaya, posibili nero siyang selective amnesia."""
01K5JNMZHZFNGQKMPZVB17D0C6,Sipon mo bayar yan?
01K5JNMZRVMFV5QMGEERYTB2R1,"Putangin na mo, hindi to si Pong Gano."
01K5JNMZZ3SVM0G0HNCQVZ7B2T,"Tamod to sa kanana, binaghalo."
01K5JNN05F0BS4MCQVAR509H3N,Pinangin na mo ka.
01K5JNN0C6CCWZB8PDH45E5GDE,"Kung natin haya ang makapasok ang Diablo sa ating tahanan, sa ating puso at isip."
01K5JNN0MJ7C6YDKYAVHHV0Q94,Dahil...
01K5JNN0TKMK8ZWJRF6AQEYRK0,"Naku ang mga aso nakapasok dito, dito pa talaga kayo nag-"
01K5JNN11ZRX8PTDNBTXKQBNP2,"Mami, hindi rason ang kapobrihon arun lang mag-baton ka o kalipay,"
01K5JNN1B71HP9WA4YF8PA1B30,minthas ang lawas na ay kusok o ang luw sumubarog pa lang kanunay mami pagkawapong batasan na niya.
01K5JNN1QBJ9NAR8BBP6QNVJF6,Real talk?
01K5JNN1XJY3Z7AKWN38Q815JS,Paano ka pala kung magiging baguting tao sa paninginin nyo kung puro balikoy ang mga nakikita ninyo mga putang ina niyo?
01K5JNN25AQ0VCRKEJMC4WY7H2,"Mami Jupiter, ang sugot katagaan kagbalay sa inyong congressman,"
01K5JNN2CE3QY0W1N2XVDTVAYS,"pero balay sa nuno sa punso, ngano manogo manka?"
01K5JNN2KJ54DYHYB1MS40WVZ3,"Imuha na lang ng nuno, balay sa nuno sa punso, ngano mga mong manka?"
01K5JNN2V575M7TDH3MXK3YQNX,"If you need time, just take your time"
01K5JNN34DV7BZHD3KNCD7X8QZ,"Honey, I get it, I get it, I get it"
01K5JNN3CPJGCSXDDBEFT86RS4,The way you got me all in my head
01K5JNN3PAZXMYXR71F46N13EV,I think I'd rather you in my bed
01K5JNN401JETNX5HRRA006TJA,"Whatever it is, you know I can take it"
01K5JNN495F4RAEFPP4E1VAYQZ,"Counting the days, how many days"
01K5JNN4J8SRQ95Y0AHWD7C1SR,Till I can see you again
01K5JNN4TR80MZMEGP356QNHKC,Blowing kisses like we had catch on the night
01K5JNN53GTMJ6JK5WT0X51NFJ,"I'm cute but with arrows, babe"
01K5JNN5CB0JP710KNRSSGZM09,I'm just shooting my shot
01K5JNN5KWGW77XH89FEWVWP94,"If I could get in, drop me a pen"
01K5JNN5WS53P8ZJN1VEF911NW,"Hop in the, we'll come over"
01K5JNN651M61MV5Y6W2F5ER58,"Don't wanna be friends, just in the skin"
01K5JNN6D5X752EY61VC1P6HP7,I wanna get closer and closer and closer
01K5JNN6P53KG6G6WD7RH0A8FB,"To finish,"
01K5JNN7A08WPGBXZSGFN9M2J1,music
01K5JNN7Q5E42BPJBYPSPH5RGS,si no next to sin maalido mo ka dollin sabay ecstasy wasak na wasak ako
01K5JNN81X52T1WJ50KNGM8TKF,daming energy ang blues ko sapitak ka na sa memory naka-whip hadng fewp
01K5JNN8C761AEMW1D383TYXTY,Public enemies ka
01K5JNN8MSNXJ2MK037CDJVCN0,Mga hundred keys
01K5JNN8X8QJVPWDWHQ0R9P4X1,Kala nila easy
01K5JNN95N8SBYT9B3FRQGT51Y,Dito madali
01K5JNN9DV356G4KMCVGK2CAWV,Trap and melodies
01K5JNN9P0SVFAKD4RM318ZCYK,Break yung mga G's
01K5JNN9ZEC5P885EVVMZCX436,"Kapag blues, yung lumakad lamang malamig"
01K5JNNAB44N1WC2NG1MJZ68RE,Walagang malamig yung aura
01K5JNNAMCKNTCSDEGSR3XGBMB,Nauhok pero di yung cola
01K5JNNAX6NF81CPKE5X5379K4,High class mga cash na ako goma
01K5JNNB5TVJJHC3J8Q8PRZGHG,Hundred locks na ako box pandora
01K5JNNBEJPMYCR07DN6WB6RJ5,Tupi na edible
01K5JNNBQ0AAZMRYFX124T9QDW,"Puro creams, incredible"
01K5JNNBZJZ3AYDFXEG1AMAR8E,"Cookie smiley, many more"
01K5JNNC7NEJ2AKA03KFMSFCKT,"Kosa nostra, unli score"
01K5JNNCG9F5G3TXYEDZRBADQP,Sundan mo ang paghimig na lulan na aking pinagtatantong
01K5JNNCY6TWXBR0XE8AWSGC1F,Sundan mo ang paghimig ko
01K5JNND9PDD3FQD0CGH5HH1KX,Hindi ko maisip kung walangka
01K5JNNDNG4ZFXAAS4KQHFK4SZ,Sa buhay ko
01K5JNNDZNAA2ZD7JW31514726,"Pag hindi ka nagsasalita, ayaw mo ba kay nukulit ka?"
01K5JNNE7A2MMYQQQD3Q32MBEK,Sabihin mo lang naman sakin
01K5JNNEEQ3EQD5F0P08D0SR5B,Di naman kita pagpaluhain
01K5JNNEP6A6V6DKJ6VTE3YZZP,Ladalhin sa mga mamahalin
01K5JNNEXKB6RARAMHC1RV9FRS,Siguruhin mo lang
01K5JNNF526WDG89KYWMHGZEDQ,4 hacks magpapansin kay Crush
01K5JNNFDDTMSR7X7KTW0JF90B,"Number 1, banatan mo"
01K5JNNFNKJCDV5TDJTH3R4N8H,Hindi nang sapak pero nang spark of words
01K5JNNFY156HTEVG0C83G0D3W,"Sa simpleng usapan, dun kayo nagkakaroon ng engagement"
01K5JNNG65CFWVGB0G48DF39DE,Haluan mo rin ang mga nakakatuwang biro dahil ito mag-build ng rapport ninyo
01K5JNNGEZ4M6N41EAHCWWP15V,"Number 2, mag-eye contact"
01K5JNNGQ5HRPT65A6XXFTBFYJ,Konting smile tapos alis agad ng tingin
01K5JNNGZ9XMJHKK0ZT0CWSJAR,Balansi lang ng mysterious pero approachable
01K5JNNH7P4D3TGKDBSXAW8HQ8,"Parang sinasabi lang neto na,"
01K5JNNHFS2NN57C5NQMB7H9XN,"Uy, I noticed you pero hindi kita kailangan"
01K5JNNHREPH2ERRFSWTXXQ0XN,Kapag nagtinginan kayo at may genuine na smile
01K5JNNJ0QCAAHTF9Z0K7G6H86,Nag-activate ito ng reward system sa utak
01K5JNNJ8WG390MF77MZR2CVP9,Kaya parang nagkakaroon ng spark
01K5JNNJHHE5VDG19RRGANNYJE,"Number 3, humihi ng maliit na tulong, kahit kaya mo naman"
01K5JNNJTK1ET3VTWCSGBAAXZA,Kapag humihi ka ng favor kahit maliit lang
01K5JNNK2PTFQWPGV7F4V9RW06,Kakaroon ng satisfaction sa kanya sa pagtulong
01K5JNNKAS4VBZBR8WKNKTMVB0,At dun kanya maalala sa positibong interaction
01K5JNNKK485VEE1S45X00KBK2,"Number 4, mas dalasan mong pagpapakita"
01K5JNNKVGS1YPWFT8KCZ1TDWW,Komportable tayo sa familiar
01K5JNNM37NRJC229QR0M7DA6Z,Kaya gawan mo nang paraan na laging maging present
01K5JNNMB0GWJ9J8KRAXNEWTCB,"Mapa-online man yan, lalo na kung in real life"
01K5JNNMKMC4NCMFARE2X9KY1A,"Mommy Jupiter, if you're given a chance to be beautiful and smart, how dare you?"
01K5JNNMXHK0B7223P7K6QA3Q3,"For me every time, every minute,"
01K5JNNN5MHBNN0DTBZJW78JHS,"I'm using with my beautiful faces,"
01K5JNNNDYRBADPVHE5XAMBPTE,"facing in our problems,"
01K5JNNNNJQKRP780554A2YJQP,"facing in our communities,"
01K5JNNNX48ZR9MKT3EFYE36XS,in every situations of my community.
01K5JNNP6BM1YJMB2CAVKENMJV,"And now, I tell you frankly that I am one of the most beautiful"
01K5JNNPFD6CX4STYHW9WWTEYZ,big talkers in the Philippines.
01K5JNNPQSQ35GBNSTDPFGEFVW,So I use to this every move in my life. Thank you and good afternoon.
01K5JNNQ1ER3T3XT6864F2ZB8W,"Tanungin kita, kung mas ikatutuwa mo ba kung di ako magpapatawa. Game!"
01K5JNNQGSACD00DGCFCXG0Y1T,Alam niyo yung giraffe mga bes?
01K5JNNQYMRM81YBYD89MHG3Z9,"Yung mahabang leg, tapos matatangkad, yung nakikita sa sapari pores?"
01K5JNNRDCN625Q384JFAK0VW5,Oh ganito itsyura noon kapag kinumpres.
01K5JNNRTQPH34ET0VDG4PJEZA,My goodness!
01K5JNNS8M1PNDTB6CBES5AXVQ,Di ka ba naaalarma?
01K5JNNSPY7YD7BEH1HZP4SEX2,"Kahit saan ka magpuntayin,"
01K5JNNT4Y3TTSY1SW3KF3DMM9,yan mo laging nakabalandra.
01K5JNNTJF4ED65CVP0MJGF9G4,Naabutan niyo na ba tong nagsisesta sa kalsada?
01K5JNNTZY7AEP3RSWW7JPC3W3,Putangin na parang kotching Kubang nakabarada.
01K5JNNVDYM56XSE2YPF3EJNJ8,Kaya maawa ka!
01K5JNNVVQ8XJXD13Z62AXWD52,"Maawa ka sa mises mo, brother."
01K5JNNW8VG54S3W0C06BHCWA1,Baka pwedeng pakiconsider
01K5JNNWPAJHTZV7X4JX9JDG14,paano pag binabaghug ng partner?
01K5JNNX44FE05RZ9VN0QTGB22,Parang magpapalit ng galon sa water dispenser.
01K5JNNXHJ5MXFAT2J4PMBG37M,Sino! Sino! Sino!
01K5JNNXZJDJSYDPAG3X5SFCXV,"At ang nakakabader, yung my day panayjogging pa yan."
01K5JNNYDRB9YVAN3DSQ6AP9TX,"Imagine ninyo na lang,"
01K5JNNYTYE7Q6G29X0JSC3RE8,"pag nagjajaking to ng walang damit, parang Titan na pinakawalan."
01K5JNNZ91P0M1TKPYZNYCX64G,"Pero in fairness, ha, looming kapiling ko, babae yan."
01K5JNNZPYGQWMWYWCE80VQD1Y,Ayun pa!
01K5JNP04NWBFXP77Y8F1K4MKZ,Napanood ko laban niyo ni Master Fito.
01K5JNP0JS1JTTE87S8F3VDNXJ,Ang kikyut!
01K5JNP10628G525H8YSFKDGNR,Ang kikyut na mga putang ina!
01K5JNP1E4EEQFVKFQ9K0ZB7PE,Mukha kayong laruan sa mga tigpipisong chichiria.
01K5JNP1W3GNPD95XZGT1T2HKW,Ang chichip niyo talaga!
01K5JNP2A3SCPR6E726XSD4TF4,"Pero kung usapang karisma, puta mali ka ng hinamon."
01K5JNP2R8NM7DMP7RBRZF09PZ,Ngayon lang kayo makakakita ng underdog na kampyon.
01K5JNP3687KTAGX7NN4CMSDGT,"Walang corona to, partida."
01K5JNP3KTJ73CQT9BAYJZGKVV,Minsan lang lumabas sa isang taon.
01K5JNP41EKH7X0DHRKWY8P975,"Pero pag sumalang, pati buwelta, kaya kung gawing mukhang aon."
01K5JNP4G9E4XKND2ADFK8Y8DM,"Matik na yon, di naman sa pagyayabang."
01K5JNP4XXF1C1D9KW6753Z19T,I'm just letting you know.
01K5JNP5BCH0ES0N8C3ZXA2A8E,"Oo, may sariling titolo at naghariin na ka si Galawan pang pro."
01K5JNP5T3QQWNHXZK54EWQ26C,"Di lang skills, pati bulsa, umaalsa."
01K5JNP674MA9MDZ7T9DA3ZV7K,Dapat ganun ka mag-grow.
01K5JNP6MZGBVAM8QJH8210WB0,"Pang masa nga ako, lalo na ako usapan ay doe."
01K5JNP734YSX5V59VRJQVG4K6,"I know, mayabang, tunog mayabang yung behavior."
01K5JNP7GY6BZSQKRT50GJ6MY4,Pero binabalik ko lang yung favor.
01K5JNP7YT93GAKCYD7R0151Y0,Pinulungan kang umangat sa pagkat ng mamit mo yung creator.
01K5JNP8D0EW66PKXCRF7FQ8AV,Yan ang napapala pagfame whore.
01K5JNP8TWMTN825Z2ZZ3KTVW9,"Kakahiling mo ng tala, binagsakan ka tuloy ng meteor."
01K5JNP990SY22V20Q2V11DWZ1,"Kaya next time, Tol, be careful what you wish for."
01K5JNP9PZ47MY6WWK1MRKFMA0,I gotta swim in pool full of liquor and they diving it
01K5JNP9ZNW7GWPD5F4HPRATBJ,"Pool full of liquor, I'ma diving it all"
01K5JNPA83HDDVW5ZBBZ1PGQG1,"I remember baby slicking, I've been lining up tracks"
01K5JNPAFPHYG50G1S02E9YPRR,I'ma show you how to turn it up and I push you in
01K5JNPAR18VS25YAKTS2VF05W,Swim in pool full of liquor then you diving it
01K5JNPAZZXFTSV8XNJ7W9HV9A,Pool full of liquor then you diving it
01K5JNPB7YC0K66VXXKEYJ9GXE,I'll wave a few bottles then I'll watch you all fly
01K5JNPBG0EZZBNQ6EF56RAM7N,"All the girls wanna play, babe watch"
01K5JNPBRCJBS48PGJ8TF9M2CV,Gawas nag-iit ang tinood ng rason na sakit siya kaya ano wala sila isudan
01K5JNPC3BCPD4NS9V2T8KT21T,Maupo nang inundan ng ano wala naku-invita si Mami Jopeta sa akong birthday
01K5JNPCDFZTNMH7QCSS6MCSKY,Ang ano last time nang ganda siya sa mua
01K5JNPCPFWG25VKWKG5RR913H,Isa ka sa ako ng upo ang ilang didala sa ilahang balay
01K5JNPD0T5Y8PMA9QANS6SD8F,Giharviss niya ang among upo sa garden
01K5JNPDAQH06RZ0BFPFS7H5D8,Muna nang wala naku siya ko na kikabalu ko ng mag-bh pwede siya pagkakadu sa birthday
01K5JNPDM6EQ99NEHN016CB8AV,Muna nang wala naku siya invita
01K5JNPDWW4TGY7S2PBPV0JS0X,Ang nakikun pwede anang ang didala inbaiton si ng adoration
01K5JNPE6DVFCMR68XHQBQ6834,Ayaw na inbaita si Mami Jopeta kaya gampang take out na sya gabi it sa sya
01K5JNPEGYYFMTFXCP8ETB9R54,Muna na diya
01K5JNPES2SCE56NSEDEMQWKNF,Diba?
01K5JNPF191JM4QGBNHJD6MEBP,Kabalo na mong sarason
01K5JNPF9V8D6MX6DV080EGQC8,Tunggu sa sudan
01K5JNPFJCYR0N8ZW15ZGDGSB1,Kaya kosongan at sya ma take out
01K5JNPFV8NSF2Q70EEFDCNRYG,Muna na niya muda
01K5JNPG3NWACKYXT6KFNWW60Y,Busap Mami
01K5JNPGCHACMHR9D79MM31865,Maki itak ta
01K5JNPGN6WT55CM8X8HAXD31Z,Maki itak ta kaya pagkita ng tini pwerman
01K5JNPGXY6RX5A1S7AXBB9M62,Daga nakakita ka absin sa atong buhos okay?
01K5JNPH7ZBBR6NDD3DERX3JJF,Pasimapotbol na tada eh
01K5JNPHHA8S4882AHBHA8FR0E,I am YetB�
01K5JNPHVHEKV4FFJ870PFMSRP,I feel so unsure
01K5JNPJE6QRN7VK5WVZZ6CYS1,As I take your hand and lead you to the dance floor
01K5JNPJSNMTJ6FMYC9XEAX4N7,"As the music dies, something in your eyes"
01K5JNPK420CDFEJ7RX7ETM3XG,Calls to mind a silver screen and all it said goodbye
01K5JNPKF2E0K74FSN1DD1QVVR,I'm never gonna dance again
01K5JNPKQGGSQ29F15BX6N574E,Guilty feet have got no rhythm
01K5JNPM0XFARDYN7W0B13BT6C,No one says it's easy
01K5JNPM92J2KPHYD7VT6YDG6V,Ang pinaka-importanting bagay sa lahat ay ang matutunan mo munang malin ang sarili mo.
01K5JNPMHN0CT858P37JG8TB8S,Maghanap ka ng magandang katangian mo para magawa mong malin ang sarili mo.
01K5JNPMSZ7MX7HCDE7V4JKBF8,"Alam mo kung kinamumuihan mo ang sarili mo, paano ka pa kaya magagawang malin din ang ibang mga tao?"
01K5JNPN36PW3096KCF9WKB064,"O marami na naman basyer na mababastos ang sakin. Pero kung tutusan, kayo ang nakakabastos kung iisipin. Nung nambastos ako nambastos, bastos daw ako ay di ang galing. Pag ako, bawal sila pwede nilang gawin. Aba okay din!"
01K5JNPNGYKNNAHH0TGGQ6FRRK,Take me back to the night I met you
01K5JNPNSGX52GHPBZ6MRP4QS4,"I don't know what I'm supposed to do, haunted by the ghost of you"
01K5JNPP2623CBQDE9T9WP422M,Wala naman yas isa plano ang bibilihin ko to.
01K5JNPP99HXVK6CH65ZJJJVZ2,Bakit naman yas ipalagi pinapakita sa FYP ko?
01K5JNPPH1KQFKZH7B88NZ44Z0,"Sa baga, hindi namamangtre trending to, hindi talaga madanda."
01K5JNPPRZF6KKCHQ2GKDQ8V5X,"Isa pa, sobrang mura lang."
01K5JNPQ04J2ZJZG0GK2A38HSK,Kaya gusto ko rin talaga ang ito try ito.
01K5JNPQ7JQZWZVXF9NC63FCXE,Ang dami ko dan nakikita at nababas ang good reviews about dito.
01K5JNPQF0RJ5PWDKABBCX926Q,Kaya panahon na para ako naman naman training.
01K5JNPQQ1M71EJ7NWTGQE306R,"Kaya ako nandadalaw ang isip ka pa din,"
01K5JNPQYSXVY9HN125QEEHNQZ,ay ititigilan mo na sa sobrang mura na ito hindi ka makihinayang.
01K5JNPR6JN4E0J7G11B8SSZZX,Kasi sulit na sulit yung bayad mo dito.
01K5JNPRE841JBS3EP8ZZWVVEJ,"Tama, pag dumating sa iyo, hindi ka talaga mangsisisi."
01K5JNPRP9EWGWT3DAY08RGAXN,Guwapuhang mami o eh.
01K5JNPRX6ZB8GF4PCBMT6DD6R,Moro mag-member sa palaotok.
01K5JNPS3TGWJAESXC5SNPX4D4,"Ah, may amat na pugalhi mo eh po history eh."
01K5JNPSB4H3BPFQAB9X5G0K8K,"Biya asa na ka-grubo, biya i-appel ko, anak."
01K5JNPSHDD9D8DGYD88FPAVE7,Importante biya na bisagong sakalisod sa panahon.
01K5JNPSRRVW5V2Z1PJA30082Y,Ako makakahit yes parang spiro kasi sa hering star range
01K5JNPT4T5ZM4J3ZKWQMF62FC,"Baby, oh, oh, oh, oh, oh, oh, oh, oh Baby"
01K5JNPTD88NFEV7SBWH5RBY71,"Hey, what you doing tonight?"
01K5JNPTMPAFJ2ZNA2BEDYJ5X9,I see that look in your eyes
01K5JNPTVV8D8BW13SY221WJZA,"I feel the same, yeah"
01K5JNPV3TKS1TDSAMZ0ZGC5F8,"This your lips, girl, when we kiss"
01K5JNPVBPYERNFZ2J5MPF2XZZ,Why don't we handle this?
01K5JNPVJW53R52GRJYZWZ6527,"Girl, you know I need some affection"
01K5JNPVVBG2Y3DA5QRSA1D2X4,"Oh, in this world, it's just us"
01K5JNPW5WMP7XNG8HZX128V5Q,You know it's not the same as it was
01K5JNPWEPGWCEEXEMDAXT9K1Q,"In this world, it's just us"
01K5JNPWR5NTY5KFMRWWS021HH,"As it was, as it was"
01K5JNPX1WSGZTREHHFW4EV8FT,You know it's not the same
01K5JNPXAM4S2X3KKRWDTY0DKV,"Answer the phone, hurry, you're not good alone"
01K5JNPXKDTP1GWE5CNBN4S0H6,Why are you sitting at home on the floor?
01K5JNPXW3R52A907JB39AG6P9,What kind of pills are you on?
01K5JNPY4PH203CZNDKRY5FPZ1,"Ringing the bell, and nobody's coming to help"
01K5JNPYDJXTN4RSJ54R7WBZ29,Your daddy lives by himself
